Data Set, Training Accuracy, Test Accuracy, Selected Features, Cost Time
Alizadeh-2000-v1,1,0.833333,563,10089.5414
Alizadeh-2000-v2,1,0.944444,1037,10966.4152
Armstrong-2002-v1,1,0.904762,537,10140.4197
Bittner-2000,1,0.818182,1081,10505.8825
Dyrskjot-2003,1,0.666667,595,9839.9668
Garber-2001,0.9375,0.789474,2956,13098.2807
Liang-2005,0.888889,0.818182,712,15487.9341
Nutt-2003-v2,1,0.5,558,9752.0335
Pomeroy-2002-v1,1,0.6,437,9641.3303
Pomeroy-2002-v2,1,0.583333,804,9910.32
Shipp-2002-v1,1,0.913043,387,9975.2122
West-2001,1,0.714286,616,10010.9128
