Data Set, Training Accuracy, Test Accuracy, Selected Features, Cost Time
Alizadeh-2000-v1,1,0.666667,564,9624.1296
Alizadeh-2000-v2,1,0.833333,1059,10227.4998
Armstrong-2002-v1,1,0.857143,547,9677.0836
Bittner-2000,1,0.727273,1160,9933.88
Dyrskjot-2003,1,0.666667,598,9528.6656
Garber-2001,0.9375,0.684211,2253,11238.3205
Liang-2005,0.888889,0.818182,673,11544.7522
Nutt-2003-v2,1,0.625,526,9467.6282
Pomeroy-2002-v1,1,0.9,447,9456.0505
Pomeroy-2002-v2,1,0.75,680,9695.7212
Shipp-2002-v1,1,0.826087,385,9709.8025
West-2001,1,0.428571,589,9668.8514
