Data Set, Training Accuracy, Test Accuracy, Selected Features, Cost Time
Alizadeh-2000-v1,1,0.833333,505,10088.4565
Alizadeh-2000-v2,1,1,1036,11332.5517
Armstrong-2002-v1,1,0.857143,526,10604.9208
Bittner-2000,1,0.636364,1088,11153.9658
Dyrskjot-2003,1,0.75,597,10482.3632
Garber-2001,0.875,0.842105,2240,14121.2168
Liang-2005,0.888889,0.818182,708,12094.2301
Nutt-2003-v2,1,0.625,526,9978.9313
Pomeroy-2002-v1,1,0.7,440,9853.6507
Pomeroy-2002-v2,1,0.583333,660,10643.2508
Shipp-2002-v1,1,0.782609,376,10286.8398
West-2001,1,0.714286,598,10298.6786
