Data Set, Training Accuracy, Test Accuracy, Selected Features, Cost Time
Alizadeh-2000-v1,1,0.75,548,9799.1381
Alizadeh-2000-v2,1,1,1044,10542.2881
Armstrong-2002-v1,1,0.952381,507,9939.2115
Bittner-2000,1,0.727273,1091,10083.9838
Dyrskjot-2003,1,0.75,593,9685.6789
Garber-2001,0.875,0.789474,2278,12787.3284
Liang-2005,0.962963,0.818182,698,9745.9632
Nutt-2003-v2,1,0.875,542,9526.112
Pomeroy-2002-v1,1,0.9,420,9504.8048
Pomeroy-2002-v2,1,0.75,657,9862.0032
Shipp-2002-v1,1,0.826087,407,9900.9756
West-2001,1,0.785714,583,9798.0012
