Data Set, Training Accuracy, Test Accuracy, Selected Features, Cost Time
Alizadeh-2000-v1,1,0.5,9,9472.184
Alizadeh-2000-v2,1,0.888889,23,9460.7362
Armstrong-2002-v1,1,0.910714,11,10496.0826
Bittner-2000,1,0.75,29,11153.6385
Dyrskjot-2003,1,0.583333,6,10553.1354
Garber-2001,0.893056,0.809524,1173,17146.2658
Liang-2005,0.966667,0.722222,4,11005.1371
Nutt-2003-v2,1,0.5,5,10594.2436
Pomeroy-2002-v1,1,0.611111,6,10152.7179
Pomeroy-2002-v2,1,0.522222,282,9665.6358
Shipp-2002-v1,1,0.779762,103,10539.5515
West-2001,1,0.85,9,10666.3735
